,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
1431,DuPage County 8436.02,17043843602,1656859,2962,87.54,3.81,2157,1705,99.06,0.94,1169,20.02,79.98,2.67,97.33,17.05,90.28,23.1,21.04,55.86,21.79,47.19,79.4
1432,DuPage County 8437.00,17043843700,1996366,4237,86.33,2.08,2773,2479,98.35,1.65,1422,23.35,76.65,2.19,97.81,14.8,91.53,11.030000000000001,16.81,72.16,22.18,40.46,77.9
1433,DuPage County 8438.00,17043843800,2049335,3221,89.29,1.06,2244,1853,97.14,2.86,1344,26.64,73.36,3.35,96.65,22.1,87.49,23.360000000000003,16.9,59.75,17.6,48.66,81.5
1434,DuPage County 8439.00,17043843900,1506603,4264,96.69,0.0,2778,2380,97.1,2.9,1466,22.1,77.9,1.22,98.78,11.28,94.65,10.16,16.91,72.93,11.09,59.459999999999994,82.4
1435,DuPage County 8440.01,17043844001,1639783,3976,92.73,0.08,2664,2101,96.19,3.81,1304,21.86,78.14,1.36,98.64,15.74,91.65,8.28,11.8,79.9,9.76,67.16,83.6
1436,DuPage County 8440.02,17043844002,2087682,4246,91.97,0.0,2724,2099,97.38,2.62,1376,25.44,74.56,2.97,97.03,17.33,90.79,4.949999999999999,10.98,84.09,6.680000000000001,66.04,87.7
1437,DuPage County 8441.00,17043844100,1757736,4130,90.0,0.29,2682,2360,96.23,3.77,1379,24.29,75.71,1.74,98.26,13.34,94.92,6.17,15.379999999999999,78.46000000000001,11.149999999999999,66.58999999999999,82.4
1438,DuPage County 8442.01,17043844201,3558825,5956,79.68,5.36,3925,3586,96.29,3.71,1890,29.84,70.16,6.26,93.74,23.54,76.28,12.28,20.32,67.42,25.73,42.040000000000006,79.1
1439,DuPage County 8442.02,17043844202,1859596,2442,75.55,3.32,1765,1280,95.47,4.53,857,32.79,67.21,1.15,98.85,20.64,91.11,12.47,21.23,66.28,28.619999999999997,30.42,82.3
1440,DuPage County 8443.04,17043844304,1481673,4253,53.96,2.45,3146,2580,96.32,3.68,1627,21.02,78.98,8.75,91.25,21.26,77.05,20.04,21.45,58.5,12.3,60.62,82.3
1441,DuPage County 8443.05,17043844305,1984859,4311,66.32,14.75,3353,2138,93.92,6.08,1903,37.94,62.06,4.74,95.26,24.35,86.21,23.97,35.370000000000005,40.669999999999995,21.15,47.72,80.1
1442,DuPage County 8443.06,17043844306,1873688,5484,55.74,11.94,3668,3201,94.13,5.87,2173,24.57,75.43,3.92,96.08,27.86,74.02,33.08,22.880000000000003,44.04,34.06,42.97,85.1
1443,DuPage County 8443.07,17043844307,2502487,3568,66.59,10.03,2401,1870,96.52,3.48,1378,26.85,73.15,3.7,96.3,29.65,74.19,23.009999999999998,23.380000000000003,53.63,29.78,44.73,82.2
1444,DuPage County 8444.01,17043844401,5154872,3081,85.39,1.53,2168,1462,97.47,2.53,1173,38.62,61.38,0.23,99.77,29.49,90.29,14.16,13.04,72.81,11.120000000000001,61.71,80.8
1445,DuPage County 8444.02,17043844402,7405114,4513,54.62,8.64,3140,2082,94.04,5.96,1617,37.04,62.96,1.83,98.17,34.02,79.32,22.76,17.13,60.120000000000005,18.759999999999998,45.61,82.1
1446,DuPage County 8445.01,17043844501,3915636,3271,82.82,2.26,2578,1609,96.64,3.36,1295,42.78,57.22,3.2,96.8,32.77,78.08,18.29,29.81,51.89,40.150000000000006,30.610000000000003,84.2
1447,DuPage County 8446.01,17043844601,12584597,3218,89.31,3.01,2741,1295,97.45,2.55,1544,58.03,41.97,1.86,98.14,47.51,74.13,20.919999999999998,16.45,62.629999999999995,19.08,51.36,82.7
1448,DuPage County 8446.02,17043844602,4847991,4995,82.48,3.88,3740,2329,88.28,11.72,2307,42.91,57.09,4.38,95.62,35.03,80.86,25.99,22.64,51.36,18.770000000000003,46.85,82.7
1449,DuPage County 8447.01,17043844701,2678590,4005,92.38,1.82,2702,2172,98.25,1.75,1533,35.81,64.19,9.69,90.31,26.07,77.85,21.91,23.09,55.0,25.72,48.07,80.4
1450,DuPage County 8447.02,17043844702,4852432,5835,77.5,0.62,3873,2626,98.29,1.71,1926,27.78,72.22,2.65,97.35,16.37,90.12,10.22,10.6,79.18,12.4,64.17999999999999,83.6
1451,DuPage County 8448.01,17043844801,2765180,4288,93.33,0.21,2896,2321,97.89,2.11,1529,30.8,69.2,2.59,97.41,19.99,86.92,14.4,16.41,69.2,17.06,48.73,80.3
1452,DuPage County 8448.02,17043844802,3009673,3493,95.19,0.4,2358,1753,98.29,1.71,1435,40.42,59.58,0.92,99.08,26.28,85.4,23.490000000000002,24.4,52.120000000000005,15.53,48.050000000000004,82.2
1453,DuPage County 8449.01,17043844901,1361138,3480,92.1,1.44,2462,2000,97.6,2.4,1411,20.62,79.38,7.74,92.26,20.98,79.71,19.999999999999996,19.98,60.03,15.270000000000001,61.980000000000004,79.7
1454,DuPage County 8449.02,17043844902,2913968,4269,84.94,4.9,2911,2072,94.21,5.79,1654,31.98,68.02,5.69,94.31,24.41,79.27,24.97,13.01,62.03,17.21,57.89,81.2
1455,DuPage County 8450.00,17043845000,2668513,6541,87.86,3.76,4604,3450,97.77,2.23,2585,35.78,64.22,6.54,93.46,31.05,73.95,19.35,26.150000000000002,54.5,25.28,47.85,78.9
1456,DuPage County 8451.00,17043845100,3788040,6010,88.84,0.02,3666,2661,98.08,1.92,2053,16.76,83.24,2.8,97.2,16.52,89.95,24.12,6.91,68.97,6.08,71.80000000000001,85.4
1457,DuPage County 8452.00,17043845200,2325009,4848,88.28,0.0,3012,2241,97.19,2.81,1615,23.03,76.97,4.89,95.11,13.1,90.78,4.53,12.33,83.16,4.08,73.97999999999999,83.0
1458,DuPage County 8453.00,17043845300,2700143,3219,88.63,0.0,2055,1361,99.27,0.73,987,18.84,81.16,0.22,99.78,10.1,94.66,2.0300000000000002,4.87,93.11000000000001,5.02,75.96,82.0
1459,DuPage County 8454.01,17043845401,3021819,3732,65.17,3.75,2541,1801,95.45,4.55,1431,31.17,68.83,3.67,96.33,20.98,86.6,16.93,12.440000000000001,70.64,4.57,66.55,85.3
1460,DuPage County 8454.02,17043845402,3021352,3156,77.12,1.05,2300,1569,95.79,4.21,1222,41.24,58.76,2.06,97.94,32.29,80.77,7.94,22.419999999999998,69.65,15.44,53.949999999999996,80.0
1461,DuPage County 8455.02,17043845502,1869748,4732,84.32,2.7,3565,3121,99.13,0.87,2406,21.53,78.47,5.05,94.95,23.75,80.2,22.57,25.8,51.63000000000001,21.41,51.62,80.1
1462,DuPage County 8455.05,17043845505,2556345,4001,72.03,3.37,2948,2410,92.95,7.05,1505,29.04,70.96,8.75,91.25,28.32,72.36,21.06,18.2,60.74,25.91,51.160000000000004,87.3
1463,DuPage County 8455.06,17043845506,1593429,3297,73.76,7.16,2483,1625,97.05,2.95,1649,32.32,67.68,7.88,92.12,35.2,71.09,37.720000000000006,27.049999999999997,35.230000000000004,29.400000000000002,35.68,81.6
1464,DuPage County 8455.07,17043845507,2323615,3399,82.11,5.97,2596,1820,93.96,6.04,1307,40.17,59.83,4.37,95.63,30.76,83.39,15.23,16.130000000000003,68.63000000000001,18.57,54.93,79.4
1465,DuPage County 8455.08,17043845508,2267974,3977,86.37,0.15,3167,2197,94.49,5.51,1686,41.34,58.66,8.02,91.98,34.21,76.76,26.28,20.759999999999998,52.97,21.849999999999998,43.82,78.0
