,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
133,Cook County 0203.02,17031020302,639920,5116,74.8,5.53,3344,2468,93.84,6.16,1603,19.15,80.85,3.27,96.73,26.83,80.38,20.099999999999998,22.009999999999998,57.900000000000006,22.51,52.449999999999996,73.0
134,Cook County 0204.00,17031020400,555577,4011,50.16,22.34,3036,2446,96.03,3.97,1650,23.39,76.61,17.97,82.03,28.83,59.79,32.43,21.58,46.0,28.689999999999998,50.26,82.7
135,Cook County 0205.00,17031020500,771659,6744,30.55,14.64,4470,3081,88.51,11.49,2103,29.67,70.33,21.77,78.23,47.3,35.37,47.92999999999999,27.290000000000003,24.78,53.260000000000005,22.619999999999997,77.6
136,Cook County 0206.01,17031020601,591329,6112,68.98,6.63,3545,2460,92.24,7.76,1998,21.92,78.08,7.25,92.75,56.12,42.51,32.36999999999999,26.92,40.69,23.41,55.26,79.4
137,Cook County 0206.02,17031020602,492027,5239,48.96,12.66,3459,2949,98.1,1.9,1632,26.16,73.84,15.81,84.19,37.44,53.6,17.700000000000003,36.33,45.96,22.78,56.67,79.6
138,Cook County 0207.01,17031020701,591396,1764,75.17,6.29,1334,924,93.4,6.6,730,41.92,58.08,4.14,95.86,35.66,70.86,34.24,15.89,49.86,22.19,55.24999999999999,81.1
139,Cook County 0207.02,17031020702,704323,8674,59.48,6.08,5166,3752,90.19,9.81,2382,23.51,76.49,5.99,94.01,45.02,54.12,37.99,28.880000000000003,33.120000000000005,48.46,24.54,77.5
140,Cook County 0208.01,17031020801,655953,5859,58.05,11.61,4320,3963,96.27,3.73,2195,18.13,81.87,17.36,82.64,34.2,51.94,27.93,34.08,38.0,37.76,31.21,80.4
141,Cook County 0208.02,17031020802,644017,8536,36.26,7.94,5413,3863,91.2,8.8,2166,16.44,83.56,21.25,78.75,47.14,33.6,34.86000000000001,31.67,33.47,50.78,30.759999999999998,79.1
142,Cook County 0209.01,17031020901,485422,6094,42.68,22.14,4034,3410,96.22,3.78,2187,11.75,88.25,20.18,79.82,45.98,39.42,37.98,32.69,29.32,39.760000000000005,38.03000000000001,77.0
143,Cook County 0209.02,17031020902,501886,4445,48.71,17.75,3225,1806,94.91,5.09,1591,32.81,67.19,13.48,86.52,47.74,47.05,47.260000000000005,34.89,17.85,51.31,21.77,78.5
144,Cook County 0301.02,17031030102,113330,3192,47.49,15.1,2701,1950,93.28,6.72,1822,21.51,78.49,7.31,92.69,34.97,63.48,37.480000000000004,41.870000000000005,20.639999999999997,25.07,45.870000000000005,76.0
145,Cook County 0301.03,17031030103,86631,2490,57.99,23.29,1313,1320,92.88,7.12,960,10.42,89.58,5.7,94.3,10.6,88.19,29.379999999999995,33.54,37.1,9.45,59.86,79.1
146,Cook County 0302.00,17031030200,666198,5863,71.62,4.03,4534,4016,95.77,4.23,2497,15.5,84.5,14.06,85.94,17.84,76.15,19.5,29.020000000000003,51.459999999999994,19.689999999999998,52.62,83.7
147,Cook County 0303.00,17031030300,314151,3722,53.41,17.62,2721,2168,93.73,6.27,1497,24.72,75.28,14.85,85.15,34.75,52.32,39.34,23.909999999999997,36.74,39.730000000000004,38.92,80.0
148,Cook County 0304.00,17031030400,346486,2606,71.8,4.07,2128,1772,97.91,2.09,1219,16.24,83.76,13.97,86.03,25.25,65.04,37.089999999999996,14.6,48.31999999999999,19.45,54.75,81.3
149,Cook County 0305.00,17031030500,618133,6870,76.13,5.12,5500,4870,99.01,0.99,2933,14.69,85.31,5.97,94.03,19.73,78.06,15.240000000000002,21.369999999999997,63.400000000000006,16.27,63.0,75.2
150,Cook County 0306.01,17031030601,149770,3981,47.63,24.14,2984,2324,97.81,2.19,1846,21.56,78.44,13.19,86.81,32.36,58.72,48.81999999999999,20.529999999999998,30.659999999999997,33.11,35.56,80.0
151,Cook County 0306.04,17031030604,198590,3267,57.36,21.33,2794,2057,98.35,1.65,2058,23.13,76.87,6.8,93.2,28.01,75.21,38.099999999999994,33.96,27.94,17.25,59.309999999999995,79.0
152,Cook County 0307.01,17031030701,69878,1528,46.47,33.25,1243,1036,91.7,8.3,835,11.74,88.26,10.69,89.31,30.25,64.4,43.83,27.78,28.380000000000003,22.61,44.17,79.7
153,Cook County 0307.02,17031030702,22158,2352,60.37,1.23,2107,1396,86.32,13.68,1478,28.42,71.58,6.63,93.37,36.61,69.6,38.910000000000004,18.27,42.83,18.61,63.03,77.7
154,Cook County 0307.03,17031030703,198290,3035,64.78,16.94,2611,1808,92.53,7.47,1891,27.87,72.13,5.54,94.46,41.25,59.24,48.81,14.44,36.75,24.049999999999997,54.199999999999996,75.4
155,Cook County 0307.06,17031030706,392423,2774,58.83,20.01,2522,1603,85.03,14.97,1882,37.83,62.17,6.42,93.58,37.96,74.3,44.85,30.49,24.65,24.11,52.62,79.4
156,Cook County 0308.00,17031030800,567414,4389,78.77,5.42,3657,2872,96.59,3.41,2097,21.65,78.35,4.2,95.8,21.83,82.47,20.21,22.36,57.419999999999995,17.15,62.51,81.1
157,Cook County 0309.00,17031030900,408716,3053,77.14,7.44,2503,2135,96.39,3.61,1468,18.8,81.2,6.65,93.35,18.51,82.28,21.25,22.409999999999997,56.330000000000005,15.5,64.2,81.9
158,Cook County 0310.00,17031031000,424897,3847,79.75,1.48,3057,2911,96.32,3.68,2056,13.23,86.77,12.53,87.47,13.03,78.54,17.22,26.700000000000003,56.08,18.119999999999997,67.06,79.2
159,Cook County 0311.00,17031031100,549965,4596,81.14,4.42,3889,3415,98.33,1.67,2424,10.48,89.52,6.38,93.62,20.26,77.59,27.729999999999997,25.700000000000003,46.59,12.709999999999999,70.4,82.7
160,Cook County 0312.00,17031031200,326475,6235,42.65,31.93,4700,3377,98.13,1.87,3159,16.52,83.48,13.39,86.61,45.14,44.58,55.93,25.17,18.91,43.379999999999995,34.980000000000004,67.3
161,Cook County 0313.00,17031031300,632210,7796,53.72,16.77,6330,4371,96.73,3.27,4434,24.67,75.33,9.56,90.44,38.21,62.15,41.86,23.630000000000003,34.5,22.54,46.38,78.1
162,Cook County 0314.00,17031031400,1489274,4840,75.72,5.56,4159,3379,98.55,1.45,3042,20.48,79.52,3.84,96.16,21.21,84.51,26.330000000000002,26.49,47.17,8.56,71.76,77.8
163,Cook County 0315.01,17031031501,159412,4794,38.51,32.42,3374,2238,94.01,5.99,1859,25.5,74.5,12.06,87.94,55.7,37.57,47.39,32.06,20.54,36.3,42.11,80.6
164,Cook County 0315.02,17031031502,161705,4693,45.11,36.88,3306,2551,95.92,4.08,2359,13.95,86.05,19.21,80.79,36.51,46.98,55.53,20.78,23.69,30.880000000000003,41.13,75.7
165,Cook County 0317.00,17031031700,477478,6809,69.85,17.9,5478,5216,97.78,2.22,3433,10.11,89.89,4.24,95.76,23.71,75.84,28.630000000000003,22.369999999999997,48.99,15.260000000000002,62.87,74.1
166,Cook County 0318.00,17031031800,235150,1976,68.17,4.0,1527,1489,96.91,3.09,972,6.38,93.62,4.35,95.65,16.75,81.33,22.419999999999998,28.909999999999997,48.67,9.76,69.49,82.0
167,Cook County 0319.00,17031031900,257670,2553,77.95,10.58,1965,1805,97.06,2.94,1315,10.95,89.05,4.39,95.61,21.97,80.42,21.61,29.509999999999998,48.9,9.969999999999999,69.57,81.1
168,Cook County 0321.00,17031032100,431027,7166,79.92,9.21,5760,5227,94.39,5.61,3995,11.44,88.56,10.55,89.45,19.57,73.36,32.11,25.66,42.23,24.39,50.14,80.7
169,Cook County 0401.00,17031040100,1972508,3934,79.31,9.13,2980,2552,98.71,1.29,1747,17.06,82.94,4.67,95.33,20.78,83.26,22.050000000000004,23.76,54.21,17.85,58.08,78.5
170,Cook County 0402.01,17031040201,721413,6875,74.25,1.47,5445,4735,95.78,4.22,3053,15.23,84.77,7.14,92.86,19.84,79.94,18.61,26.3,55.09,18.82,58.660000000000004,79.4
171,Cook County 0402.02,17031040202,588657,7427,52.12,4.35,5086,3776,90.04,9.96,2759,15.73,84.27,18.24,81.76,35.91,50.41,42.23,24.730000000000004,33.05,34.86,41.11,77.1
172,Cook County 0403.00,17031040300,752564,2844,61.85,2.07,2013,1684,89.01,10.99,1070,24.3,75.7,9.19,90.81,29.68,70.25,21.400000000000002,23.28,55.32,24.939999999999998,51.17,81.1
173,Cook County 0404.01,17031040401,385796,3442,80.3,3.46,2732,2203,96.37,3.63,1380,17.83,82.17,3.98,96.02,16.12,88.79,12.96,20.87,66.16,19.11,65.08,81.9
174,Cook County 0404.02,17031040402,602581,4796,84.11,1.48,3619,3579,93.49,6.51,2401,5.66,94.34,3.5,96.5,8.42,89.67,18.28,23.029999999999998,58.68,8.04,75.38,81.3
175,Cook County 0406.00,17031040600,331259,2635,76.93,9.41,2044,1929,99.07,0.93,1189,10.26,89.74,10.97,89.03,10.85,84.02,13.29,29.029999999999998,57.7,10.42,75.2,80.6
176,Cook County 0408.00,17031040800,217717,1629,83.67,2.7,1361,1115,98.21,1.79,793,12.23,87.77,3.36,96.64,16.17,87.26,20.049999999999997,27.99,51.96,15.8,61.5,81.1
177,Cook County 0409.00,17031040900,321853,1810,87.68,1.82,1469,1350,96.74,3.26,1053,13.3,86.7,8.62,91.38,13.26,84.25,35.04,15.85,49.09,7.01,72.36,81.0
178,Cook County 0501.00,17031050100,334634,2832,85.17,3.43,1999,1926,97.72,2.28,1127,9.23,90.77,2.4,97.6,9.82,91.24,19.169999999999998,11.36,69.47,6.45,73.48,81.5
179,Cook County 0502.00,17031050200,652253,5594,80.26,3.2,3823,3205,96.01,3.99,2026,26.85,73.15,0.46,99.54,20.56,87.25,18.7,10.21,71.08000000000001,9.94,66.83,81.3
180,Cook County 0503.00,17031050300,380031,2550,70.16,0.24,1877,1651,97.15,2.85,1046,14.24,85.76,3.57,96.43,12.63,90.35,18.07,13.01,68.93,12.94,58.449999999999996,80.3
181,Cook County 0505.00,17031050500,652578,5911,85.33,0.05,3755,3307,98.61,1.39,2119,9.96,90.04,2.94,97.06,6.65,93.74,10.9,5.09,84.00999999999999,6.39,74.11,81.3
182,Cook County 0506.00,17031050600,332314,2178,97.02,0.0,1655,1532,95.3,4.7,1093,8.87,91.13,1.74,98.26,9.6,92.98,5.84,20.5,73.66,3.87,78.8,81.3
183,Cook County 0507.00,17031050700,164326,1435,94.56,0.0,1086,1046,98.57,1.43,694,10.81,89.19,0.7,99.3,6.69,98.82,8.219999999999999,9.23,82.57000000000001,5.16,78.18,80.3
184,Cook County 0509.00,17031050900,162724,1452,76.17,2.96,1109,934,97.11,2.89,605,17.85,82.15,3.51,96.49,20.52,83.4,13.39,16.37,70.25,13.440000000000001,63.84,81.3
185,Cook County 0510.00,17031051000,166636,1783,83.12,4.49,1251,1080,98.33,1.67,715,9.79,90.21,3.53,96.47,8.64,90.97,11.620000000000001,13.57,74.82000000000001,11.59,67.79,81.3
186,Cook County 0514.00,17031051400,346283,2220,74.1,7.12,1463,1327,95.86,4.14,889,5.74,94.26,2.35,97.65,11.96,89.84,12.370000000000001,12.48,75.13,12.100000000000001,61.93,82.0
187,Cook County 0602.00,17031060200,318279,2191,81.97,1.92,1680,1622,97.9,2.1,1091,12.28,87.72,3.79,96.21,7.3,90.69,26.32,18.419999999999998,55.269999999999996,4.64,82.32,81.1
188,Cook County 0603.00,17031060300,319839,2918,79.58,0.41,2256,1962,98.47,1.53,1185,16.54,83.46,2.06,97.94,14.5,87.15,12.739999999999998,18.14,69.11,12.99,63.25,81.3
189,Cook County 0605.00,17031060500,228276,1233,79.56,2.76,947,652,96.47,3.53,676,31.66,68.34,3.81,96.19,30.9,69.26,46.15,18.939999999999998,34.91,31.46,51.32,80.2
190,Cook County 0608.00,17031060800,181490,5225,71.46,4.98,4531,4029,96.82,3.18,3461,18.49,81.51,3.71,96.29,14.13,91.52,19.03,32.71,48.260000000000005,3.9299999999999997,71.97,80.8
191,Cook County 0609.00,17031060900,499066,6815,86.91,2.58,5418,5532,94.27,5.73,4641,17.22,82.78,3.89,96.11,14.97,90.37,23.3,28.45,48.25000000000001,5.58,72.92,84.1
192,Cook County 0612.00,17031061200,174670,2161,85.15,1.57,1456,1575,99.05,0.95,801,7.49,92.51,4.21,95.79,4.67,92.92,14.600000000000001,11.73,73.66,6.9399999999999995,79.87,80.9
193,Cook County 0621.00,17031062100,244805,3710,84.93,2.83,2482,3141,96.18,3.82,1865,11.8,88.2,4.89,95.11,7.08,89.37,18.919999999999998,23.060000000000002,58.02,5.84,82.63999999999999,81.3
194,Cook County 0624.00,17031062400,162936,1510,87.22,6.42,1190,1022,96.48,3.52,700,18.29,81.71,2.25,97.75,13.58,86.69,14.009999999999998,18.29,67.72,9.41,71.42999999999999,80.9
195,Cook County 0627.00,17031062700,325098,2972,88.76,0.98,2101,2007,97.81,2.19,1216,14.97,85.03,1.72,98.28,12.25,90.28,9.95,20.39,69.65,7.09,75.26,79.7
196,Cook County 0628.00,17031062800,325611,3443,90.59,1.42,2436,2572,97.71,2.29,1384,1.95,98.05,2.82,97.18,5.78,92.45,5.71,10.83,83.46,1.52,77.33999999999999,78.6
197,Cook County 0629.00,17031062900,325740,3759,80.58,3.41,2782,2885,94.59,5.41,1788,2.52,97.48,2.82,97.18,4.12,94.87,15.830000000000002,19.020000000000003,65.15,7.59,72.4,80.9
198,Cook County 0630.00,17031063000,324351,3506,76.64,3.99,2630,2772,95.92,4.08,1796,3.56,96.44,2.11,97.89,4.19,95.66,12.299999999999999,23.5,64.2,6.05,79.46,79.2
199,Cook County 0633.01,17031063301,93843,2925,73.85,9.5,2273,2019,98.96,1.04,1967,19.42,80.58,3.73,96.27,20.85,83.97,32.58,24.810000000000002,42.589999999999996,4.26,68.46,82.5
200,Cook County 0633.02,17031063302,121199,3867,85.65,3.54,3251,2998,99.13,0.87,2649,8.72,91.28,6.15,93.85,10.76,91.75,13.55,29.38,57.08,3.66,77.80000000000001,80.9
201,Cook County 0633.03,17031063303,236591,1160,85.09,0.0,1117,610,95.25,4.75,834,51.08,48.92,1.12,98.88,52.16,84.14,23.4,18.59,58.04,7.34,68.22,80.7
202,Cook County 0702.00,17031070200,341404,4260,83.0,3.87,3087,3150,93.9,6.1,2083,6.96,93.04,1.14,98.86,6.44,96.06,17.08,12.29,70.6,6.74,69.62,71.6
203,Cook County 0703.00,17031070300,324411,3729,91.31,0.56,2626,2783,97.09,2.91,1596,4.82,95.18,3.92,96.08,4.37,93.86,10.03,10.16,79.81,2.13,84.00999999999999,80.9
204,Cook County 0704.00,17031070400,324362,3277,87.52,3.91,2330,1989,100.0,0.0,1543,21.19,78.81,1.5,98.5,19.65,87.52,27.990000000000002,7.91,64.09,12.27,66.08999999999999,80.7
205,Cook County 0705.00,17031070500,305415,3256,85.96,6.66,2324,2086,95.16,4.84,1262,11.09,88.91,1.67,98.33,8.99,92.81,16.72,16.72,66.56,17.72,70.61,74.3
206,Cook County 0706.00,17031070600,343156,3305,90.83,0.3,2142,1922,99.06,0.94,1186,6.07,93.93,1.51,98.49,3.9,96.82,8.53,4.720000000000001,86.75999999999999,3.18,73.43,82.0
207,Cook County 0707.00,17031070700,646549,3880,72.01,8.66,2905,2534,98.93,1.07,1677,13.6,86.4,2.58,97.42,13.04,88.09,15.15,5.1899999999999995,79.66,10.399999999999999,64.54,81.1
208,Cook County 0710.00,17031071000,324639,4836,82.98,6.66,1854,2504,95.65,4.35,983,9.36,90.64,4.43,95.57,6.22,91.94,13.63,3.87,82.50999999999999,4.800000000000001,78.59,81.1
209,Cook County 0711.00,17031071100,325455,3397,80.66,1.27,1633,2250,97.07,2.93,1063,14.39,85.61,4.3,95.7,10.01,90.64,7.25,11.95,80.81,0.0,82.16999999999999,80.5
210,Cook County 0712.00,17031071200,325200,1994,85.31,5.32,1412,1304,97.78,2.22,887,17.81,82.19,0.85,99.15,15.35,89.27,21.730000000000004,8.110000000000001,70.13,4.89,76.42,81.6
211,Cook County 0713.00,17031071300,309582,4378,78.78,0.73,2907,2756,95.61,4.39,2184,12.27,87.73,5.34,94.66,13.41,89.26,24.78,13.6,61.63,0.58,73.59,84.6
212,Cook County 0714.00,17031071400,640573,4998,84.97,4.92,4097,3460,98.06,1.94,2847,17.32,82.68,0.42,99.58,16.31,91.02,13.67,17.450000000000003,68.88,7.42,73.49000000000001,80.1
213,Cook County 0715.00,17031071500,895866,6157,86.15,3.25,5263,4539,95.92,4.08,3805,10.7,89.3,3.64,96.36,13.4,90.27,13.72,22.389999999999997,63.900000000000006,3.8600000000000003,74.79,81.2
214,Cook County 0716.00,17031071600,162169,1975,78.53,8.1,1333,1055,97.54,2.46,745,21.88,78.12,1.22,98.78,13.32,91.14,18.650000000000002,9.120000000000001,72.21000000000001,7.58,65.42,80.3
215,Cook County 0717.00,17031071700,159952,1622,78.79,9.56,1195,923,97.18,2.82,656,22.41,77.59,1.66,98.34,19.42,95.07,7.470000000000001,9.76,82.78,6.7,74.73,82.3
216,Cook County 0718.00,17031071800,323370,2579,75.38,7.37,1924,1592,98.87,1.13,1049,15.63,84.37,2.13,97.87,11.05,91.9,9.819999999999999,7.999999999999999,82.17,9.61,68.71,80.3
217,Cook County 0801.00,17031080100,265446,6944,83.71,2.2,6189,4165,97.24,2.76,4139,24.69,75.31,2.78,97.22,25.71,90.51,10.56,18.14,71.3,7.3,70.8,86.5
218,Cook County 0802.02,17031080202,155240,3321,89.88,2.68,3013,2421,98.43,1.57,2293,27.17,72.83,2.92,97.08,22.91,87.68,16.17,17.13,66.68,3.3099999999999996,70.25999999999999,80.3
219,Cook County 0803.00,17031080300,361504,4697,83.59,1.04,4062,3730,100.0,0.0,2837,7.9,92.1,2.51,97.49,9.41,94.4,7.41,13.14,79.46000000000001,4.41,75.25999999999999,80.7
220,Cook County 0810.00,17031081000,298829,8078,68.37,14.43,6516,5695,98.93,1.07,4882,21.24,78.76,5.07,94.93,25.78,75.94,32.91,20.66,46.41,18.09,61.84,79.3
221,Cook County 0811.00,17031081100,102996,4404,76.07,8.13,3669,3338,96.11,3.89,2940,13.2,86.8,2.5,97.5,21.12,88.69,25.439999999999998,14.18,60.36999999999999,7.58,72.83,77.6
222,Cook County 0812.01,17031081201,185124,4688,82.79,2.73,3681,3117,97.95,2.05,3013,25.95,74.05,2.24,97.76,22.61,90.85,13.839999999999998,22.31,63.85000000000001,1.77,71.7,85.4
223,Cook County 0812.02,17031081202,204321,3011,90.57,2.09,2674,1549,97.61,2.39,1811,34.07,65.93,2.52,97.48,37.6,87.21,9.23,14.469999999999999,76.32,3.67,73.11,90.0
224,Cook County 0813.00,17031081300,202656,5726,77.28,5.15,4735,3196,96.15,3.85,3561,29.46,70.54,4.21,95.79,30.49,86.9,30.5,12.500000000000002,57.010000000000005,6.64,69.74000000000001,85.6
225,Cook County 0814.01,17031081401,281790,2039,81.07,2.21,1700,1372,98.4,1.6,1280,26.25,73.75,3.38,96.62,28.98,86.07,30.17,22.5,47.34,4.94,64.22999999999999,80.7
226,Cook County 0814.02,17031081402,589626,5429,67.45,3.11,4456,3397,94.79,5.21,3173,16.73,83.27,1.11,98.89,23.04,90.72,19.01,13.02,67.98,4.6899999999999995,67.43,80.7
227,Cook County 0814.03,17031081403,331289,9069,60.34,1.91,7708,6861,97.25,2.75,6057,7.31,92.69,1.08,98.92,9.37,94.75,17.94,14.09,67.96000000000001,4.9399999999999995,70.26,80.2
228,Cook County 0815.00,17031081500,284635,4645,66.16,2.2,4194,3677,99.16,0.84,3225,10.08,89.92,1.05,98.95,15.24,93.71,13.55,17.37,69.09,4.46,73.46,84.8
229,Cook County 0816.00,17031081600,128834,3986,76.62,2.11,3392,2905,96.14,3.86,2558,11.77,88.23,0.63,99.37,11.72,95.16,13.749999999999998,17.82,68.41,4.83,77.47999999999999,80.1
230,Cook County 0901.00,17031090100,933427,3486,86.14,0.95,2512,2016,97.17,2.83,1361,28.36,71.64,2.01,97.99,19.25,90.16,18.59,9.33,72.09,25.48,44.95,80.4
231,Cook County 0902.00,17031090200,1529762,6166,93.01,0.21,4611,3567,98.35,1.65,2596,24.69,75.31,0.55,99.45,17.48,93.09,16.37,14.01,69.61,26.05,46.519999999999996,79.2
232,Cook County 0903.00,17031090300,475842,1350,92.74,0.0,946,828,100.0,0.0,504,22.42,77.58,2.74,97.26,20.52,85.93,8.93,22.42,68.65,23.779999999999998,53.8,82.4
233,Cook County 1001.00,17031100100,1182384,5746,96.31,0.0,4256,3224,93.7,6.3,2094,24.12,75.88,5.36,94.64,21.11,81.05,20.52,16.81,62.66,30.339999999999996,41.26,81.1
234,Cook County 1002.00,17031100200,2060321,6755,83.2,3.21,4903,3860,95.18,4.82,2746,24.36,75.64,2.08,97.92,23.41,82.9,20.69,18.64,60.669999999999995,35.39,45.580000000000005,80.8
235,Cook County 1003.00,17031100300,2330582,6343,90.21,1.04,4985,3013,99.14,0.86,2718,44.48,55.52,2.4,97.6,32.76,84.23,29.73,18.33,51.95,37.580000000000005,36.22,79.8
236,Cook County 1004.00,17031100400,971799,3386,81.98,0.06,2360,1730,97.69,2.31,1256,27.23,72.77,2.27,97.73,21.12,87.09,19.810000000000006,9.0,71.18,26.35,43.19,79.4
237,Cook County 1005.00,17031100500,1962095,5620,82.56,0.02,3951,2668,98.61,1.39,2305,33.1,66.9,1.62,98.38,31.41,81.53,16.59,25.47,57.959999999999994,31.79,43.379999999999995,79.0
238,Cook County 1006.00,17031100600,1282466,4821,79.24,0.71,3340,2598,96.38,3.62,1839,28.49,71.51,6.39,93.61,26.53,77.64,28.92,23.33,47.74,38.11,32.07,80.1
239,Cook County 1007.00,17031100700,1215251,5417,91.16,0.17,4097,2919,90.82,9.18,1811,32.08,67.92,8.12,91.88,29.15,75.8,21.03,17.89,61.07,34.78,37.09,81.4
240,Cook County 1101.00,17031110100,1844325,5686,74.76,1.44,3896,3197,97.47,2.53,2162,19.29,80.71,5.91,94.09,28.28,71.51,20.77,24.150000000000002,55.089999999999996,23.56,36.65,82.3
241,Cook County 1102.00,17031110200,596253,3107,81.33,6.37,2300,1583,86.36,13.64,1311,34.1,65.9,6.34,93.66,35.4,65.34,37.75,17.15,45.06999999999999,38.17,27.39,78.7
242,Cook County 1103.00,17031110300,1210672,5305,73.7,0.23,3716,2738,95.87,4.13,1848,26.68,73.32,8.22,91.78,31.03,68.92,19.81,21.8,58.379999999999995,35.45,33.04,80.2
243,Cook County 1104.00,17031110400,933971,4480,67.46,1.21,3331,2611,95.6,4.4,1797,31.5,68.5,10.96,89.04,24.96,74.15,26.38,33.489999999999995,40.10999999999999,32.25,37.83,80.4
244,Cook County 1105.01,17031110501,791607,5076,69.62,5.18,3841,3089,97.12,2.88,1834,26.44,73.56,8.72,91.28,25.02,74.38,21.05,14.830000000000002,64.12,29.259999999999998,43.29,78.5
245,Cook County 1105.02,17031110502,649329,3540,64.92,3.67,2690,2017,97.32,2.68,1569,27.28,72.72,10.65,89.35,28.73,67.32,30.53,28.5,40.989999999999995,37.28,43.6,79.9
246,Cook County 1201.00,17031120100,2789745,4515,92.43,0.27,3260,2333,92.33,7.67,1513,30.4,69.6,5.43,94.57,20.16,90.03,10.83,14.93,74.22999999999999,13.780000000000001,60.07,82.0
247,Cook County 1202.00,17031120200,2394584,4771,80.86,1.4,3334,2307,98.09,1.91,1794,38.96,61.04,2.31,97.69,26.07,85.52,15.89,17.990000000000002,66.11,16.62,54.260000000000005,86.9
248,Cook County 1203.00,17031120300,2055073,6826,85.45,0.1,4808,3343,96.5,3.5,2512,30.73,69.27,4.82,95.18,26.4,84.95,20.5,11.3,68.19,21.05,55.57000000000001,81.8
249,Cook County 1301.00,17031130100,1839635,5279,71.3,1.33,3628,1783,96.75,3.25,1797,47.75,52.25,7.06,92.94,51.52,54.6,44.53000000000001,18.82,36.67,32.03,47.0,84.8
250,Cook County 1302.00,17031130200,2075998,1658,60.13,0.9,1237,771,97.8,2.2,726,32.78,67.22,1.33,98.67,35.71,73.04,18.459999999999997,19.69,61.84,22.560000000000002,51.900000000000006,83.3
251,Cook County 1303.00,17031130300,721103,5617,49.19,4.18,3723,3053,93.22,6.78,1815,19.06,80.94,15.88,84.12,36.75,53.14,29.04,26.119999999999997,44.85,32.36,40.339999999999996,84.7
252,Cook County 1401.00,17031140100,282494,3332,48.68,12.85,1945,1798,91.55,8.45,1160,10.26,89.74,14.8,85.2,35.98,51.29,36.29,23.27,40.42,38.2,43.75,78.0
253,Cook County 1402.00,17031140200,394455,6634,48.97,5.97,4085,3682,96.41,3.59,1906,11.65,88.35,18.34,81.66,31.44,52.43,32.95,22.66,44.39,45.22,37.23,79.2
254,Cook County 1403.02,17031140302,414720,3842,53.98,4.58,2930,2259,94.73,5.27,1300,16.77,83.23,11.05,88.95,25.54,68.52,15.91,26.15,57.93,42.04,35.980000000000004,77.3
